id,doi,title,publication_year,type,oa_status,has_pdf_proxy,cost_usd,cost_source,cited_by_count,is_retracted,journal,publisher,mean_citedness,field,is_first_author_muenster
https://openalex.org/W2092157292,https://doi.org/10.1063/1.3382344,A consistent and accurate<i>ab initio</i>parametrization of density functional dispersion correction (DFT-D) for the 94 elements H-Pu,2010,article,closed,false,0,oa_status_closed,57482,false,The Journal of Chemical Physics,American Institute of Physics,,Physics and Astronomy,true
https://openalex.org/W2044591029,https://doi.org/10.1002/jcc.20495,Semiempirical GGA‐type density functional constructed with a long‐range dispersion correction,2006,article,closed,false,0,oa_status_closed,30888,false,Journal of Computational Chemistry,Wiley,,Physics and Astronomy,true
https://openalex.org/W2096747776,https://doi.org/10.1002/jcc.21759,Effect of the damping function in dispersion corrected density functional theory,2011,article,closed,false,0,oa_status_closed,27394,false,Journal of Computational Chemistry,Wiley,,Physics and Astronomy,true
https://openalex.org/W2749069611,https://doi.org/10.18637/jss.v080.i01,<b>brms</b> : An <i>R</i> Package for Bayesian Multilevel Models Using <i>Stan</i>,2017,article,diamond,true,0,openalex_diamond,9504,false,Journal of Statistical Software,Foundation for Open Access Statistics,,Mathematics,true
https://openalex.org/W2097854437,https://doi.org/10.1056/nejmoa1009638,Rivaroxaban versus Warfarin in Nonvalvular Atrial Fibrillation,2011,article,bronze,true,0,oa_status_bronze,9423,false,New England Journal of Medicine,Massachusetts Medical Society,,Medicine,false
https://openalex.org/W2087243986,https://doi.org/10.1016/s1474-4422(15)70016-5,Neuroinflammation in Alzheimer's disease,2015,article,green,true,0,oa_status_green,6156,false,The Lancet Neurology,Elsevier BV,,Neuroscience,false
https://openalex.org/W2752326209,https://doi.org/10.1080/15548627.2015.1100356,Guidelines for the use and interpretation of assays for monitoring autophagy (3rd edition),2016,article,bronze,true,0,oa_status_bronze,6009,false,Autophagy,Taylor & Francis,,Medicine,false
https://openalex.org/W2559537906,https://doi.org/10.1182/blood-2016-08-733196,Diagnosis and management of AML in adults: 2017 ELN recommendations from an international expert panel,2016,article,bronze,true,0,oa_status_bronze,5900,false,Blood,Elsevier BV,,Medicine,false
https://openalex.org/W2137408480,https://doi.org/10.1016/s0140-6736(98)04311-6,Effects of intensive blood-pressure lowering and low-dose aspirin in patients with hypertension: principal results of the Hypertension Optimal Treatment (HOT) randomised trial,1998,article,closed,false,0,oa_status_closed,5789,false,The Lancet,Elsevier BV,,Medicine,false
https://openalex.org/W2140886907,https://doi.org/10.1002/jcc.20078,Accurate description of van der Waals complexes by density functional theory including empirical corrections,2004,article,closed,false,0,oa_status_closed,5181,false,Journal of Computational Chemistry,Wiley,,Physics and Astronomy,true
https://openalex.org/W2504691963,https://doi.org/10.1038/nbt.3597,Sharing and community curation of mass spectrometry data with Global Natural Products Social Molecular Networking,2016,article,gold,true,11690,openalex_apc_paid,4641,false,Nature Biotechnology,Nature Portfolio,,"Biochemistry, Genetics and Molecular Biology",false
https://openalex.org/W2003555872,https://doi.org/10.1038/nature13384,An overview of N-heterocyclic carbenes,2014,article,closed,false,0,oa_status_closed,4222,false,Nature,Nature Portfolio,,Chemistry,true
https://openalex.org/W2127236625,https://doi.org/10.1180/minmag.1997.061.405.13,Nomenclature of Amphiboles; Report of the Subcommittee on Amphiboles of the International Mineralogical Association Commission on New Minerals and Mineral Names,1997,article,closed,false,0,oa_status_closed,3921,false,Mineralogical Magazine,Cambridge University Press,,Computer Science,false
https://openalex.org/W2095100262,https://doi.org/10.1063/1.2148954,Semiempirical hybrid density functional with perturbative second-order correlation,2006,article,closed,false,0,oa_status_closed,3406,false,The Journal of Chemical Physics,American Institute of Physics,,Physics and Astronomy,true
https://openalex.org/W2116858301,https://doi.org/10.1182/blood-2009-07-235358,"Diagnosis and management of acute myeloid leukemia in adults: recommendations from an international expert panel, on behalf of the European LeukemiaNet",2009,article,bronze,true,0,oa_status_bronze,3395,false,Blood,Elsevier BV,,Medicine,false
https://openalex.org/W2738082385,https://doi.org/10.1038/s41588-018-0090-3,Genome-wide association analyses identify 44 risk variants and refine the genetic architecture of major depression,2018,article,green,true,0,oa_status_green,3329,false,Nature Genetics,Nature Portfolio,,"Biochemistry, Genetics and Molecular Biology",false
